"PLANT_UNQ","YEAR","CLASS","SEEDS"
"I_5",1999,"A3",545.3
"I_8",1999,"A3",2597.35
"A_5",1999,"A4",2597.35
"B_5",1999,"A4",545.3
"B_6",1999,"A4",545.3
"B_9",1999,"A4",2597.35
"C_12",1999,"A4",545.3
"C_4",1999,"A4",2597.35
"D_1",1999,"A4",545.3
"D_14",1999,"A4",2597.35
"D_28",1999,"A4",2597.35
"D_8",1999,"A4",2597.35
"F_12",1999,"A4",2597.35
"B_1",1999,"dead",0
"D_19",1999,"dead",0
"E_12",1999,"dead",0
"C_12",2000,"A1",71.75
"E_8",2000,"A1",71.75
"F_13",2000,"A1",71.75
"G_12",2000,"A1",0
"H_11",2000,"A1",258.3
"H_19",2000,"A1",0
"B_14",2000,"A2",545.3
"B_5",2000,"A2",258.3
"B_6",2000,"A2",258.3
"B_7",2000,"A2",0
"C_18",2000,"A2",258.3
"C_23",2000,"A2",71.75
"D_18",2000,"A2",258.3
"D_26",2000,"A2",258.3
"E_11",2000,"A2",545.3
"F_1",2000,"A2",258.3
"F_20",2000,"A2",258.3
"F_22",2000,"A2",71.75
"F_5",2000,"A2",71.75
"G_9",2000,"A2",258.3
"H_16",2000,"A2",258.3
"H_8",2000,"A2",545.3
"H_9",2000,"A2",258.3
"B_10",2000,"A3",258.3
"B_9",2000,"A3",258.3
"C_16",2000,"A3",258.3
"C_5",2000,"A3",258.3
"D_1",2000,"A3",258.3
"D_14",2000,"A3",258.3
"D_16",2000,"A3",258.3
"D_24",2000,"A3",258.3
"D_4",2000,"A3",258.3
"D_8",2000,"A3",258.3
"E_2",2000,"A3",258.3
"E_3",2000,"A3",545.3
"E_9",2000,"A3",545.3
"F_6",2000,"A3",545.3
"H_4",2000,"A3",545.3
"I_5",2000,"A3",258.3
"I_8",2000,"A3",2597.35
"A_2",2000,"A4",545.3
"A_5",2000,"A4",545.3
"C_26",2000,"A4",545.3
"C_4",2000,"A4",258.3
"D_28",2000,"A4",545.3
"D_6",2000,"A4",545.3
"E_10",2000,"A4",2597.35
"F_12",2000,"A4",545.3
"A_3",2000,"dead",0
"B_19",2000,"dead",0
"C_22",2000,"dead",0
"C_9",2000,"dead",0
"D_10",2000,"dead",0
"E_5",2000,"dead",0
"F_15",2000,"dead",0
"G_1",2000,"dead",0
"G_11",2000,"dead",0
"H_3",2000,"dead",0
"I_9",2000,"dead",0
"D_16",2001,"A1",258.3
"B_9",2001,"A2",71.75
"C_18",2001,"A2",71.75
"D_18",2001,"A2",258.3
"D_24",2001,"A2",258.3
"D_8",2001,"A2",71.75
"E_11",2001,"A2",258.3
"F_1",2001,"A2",545.3
"F_13",2001,"A2",258.3
"F_22",2001,"A2",258.3
"H_11",2001,"A2",258.3
"I_5",2001,"A2",258.3
"B_14",2001,"A3",545.3
"B_6",2001,"A3",545.3
"C_16",2001,"A3",545.3
"D_1",2001,"A3",545.3
"D_14",2001,"A3",545.3
"D_26",2001,"A3",545.3
"E_2",2001,"A3",545.3
"F_20",2001,"A3",545.3
"F_5",2001,"A3",258.3
"F_6",2001,"A3",545.3
"G_9",2001,"A3",545.3
"H_16",2001,"A3",545.3
"H_4",2001,"A3",2597.35
"H_8",2001,"A3",2597.35
"H_9",2001,"A3",545.3
"I_8",2001,"A3",545.3
"A_2",2001,"A4",2597.35
"A_5",2001,"A4",2597.35
"B_10",2001,"A4",2597.35
"C_23",2001,"A4",545.3
"C_26",2001,"A4",2597.35
"C_4",2001,"A4",545.3
