PLANT_UNQ,YEAR,CLASS,OBS_ID,COHORT,PLANT NUM,xDIAM_cm,SEEDS_DC,MEDIAN_INFL,INFL_CLASS,MAX_INFL,OBS_INLF,SEEDS_YR_INF,CAGED,WATERED
D_19,1996,A3,225,D,19,34,668.1,38,3,227,,,N,N
D_28,1996,A3,229,D,28,35,668.1,38,3,227,,,N,N
E_11,1996,A3,239,E,11,38,668.1,38,3,227,,,N,N
F_6,1996,A3,246,F,6,39,668.1,38,3,227,,,N,N
H_4,1996,A3,266,H,4,33,668.1,18,2,123,,,N,N
H_9,1996,A3,269,H,9,32,668.1,38,3,227,,,N,N
A_5,1996,A4,183,A,5,41,1860,18,2,123,,,N,N
C_12,1996,A4,202,C,12,54,1860,38,3,227,,,N,N
C_18,1996,A4,206,C,18,43,1860,38,3,227,,,N,N
E_9,1996,A4,237,E,9,41,1860,18,2,123,,,N,N
F_12,1996,A4,250,F,12,41,1860,38,3,227,,,N,N
H_3,1996,A4,265,H,3,42,1860,38,3,227,,,N,N
A_1,1996,dead,620,A,1,0,0,0,0,0,,,N,N
A_6,1996,dead,621,A,6,0,0,0,0,0,,,N,N
B_11,1996,dead,622,B,11,0,0,0,0,0,,,N,N
B_16,1996,dead,623,B,16,0,0,0,0,0,,,N,N
B_3,1996,dead,624,B,3,0,0,0,0,0,,,N,N
C_11,1996,dead,625,C,11,0,0,0,0,0,,,N,N
C_13,1996,dead,626,C,13,0,0,0,0,0,,,N,N
C_14,1996,dead,627,C,14,0,0,0,0,0,,,N,N
C_2,1996,dead,628,C,2,0,0,0,0,0,,,N,N
C_21,1996,dead,629,C,21,0,0,0,0,0,,,N,N
C_24,1996,dead,630,C,24,0,0,0,0,0,,,N,N
C_3,1996,dead,631,C,3,0,0,0,0,0,,,N,N
C_6,1996,dead,632,C,6,0,0,0,0,0,,,N,N
C_7,1996,dead,633,C,7,0,0,0,0,0,,,N,N
D_12,1996,dead,634,D,12,0,0,0,0,0,,,N,N
D_13,1996,dead,635,D,13,0,0,0,0,0,,,N,N
D_17,1996,dead,636,D,17,0,0,0,0,0,,,N,N
D_2,1996,dead,637,D,2,0,0,0,0,0,,,N,N
D_20,1996,dead,638,D,20,0,0,0,0,0,,,N,N
D_21,1996,dead,639,D,21,0,0,0,0,0,,,N,N
D_22,1996,dead,640,D,22,0,0,0,0,0,,,N,N
D_23,1996,dead,641,D,23,0,0,0,0,0,,,N,N
D_25,1996,dead,642,D,25,0,0,0,0,0,,,N,N
D_5,1996,dead,643,D,5,0,0,0,0,0,,,N,N
D_9,1996,dead,644,D,9,0,0,0,0,0,,,N,N
E_13,1996,dead,645,E,13,0,0,0,0,0,,,N,N
E_4,1996,dead,646,E,4,0,0,0,0,0,,,N,N
E_6,1996,dead,647,E,6,0,0,0,0,0,,,N,N
F_10,1996,dead,648,F,10,0,0,0,0,0,,,N,N
F_14,1996,dead,649,F,14,0,0,0,0,0,,,N,N
F_16,1996,dead,650,F,16,0,0,0,0,0,,,N,N
F_17,1996,dead,651,F,17,0,0,0,0,0,,,N,N
F_21,1996,dead,652,F,21,0,0,0,0,0,,,N,N
F_3,1996,dead,653,F,3,0,0,0,0,0,,,N,N
F_7,1996,dead,654,F,7,0,0,0,0,0,,,N,N
G_10,1996,dead,655,G,10,0,0,0,0,0,,,N,N
G_2,1996,dead,656,G,2,0,0,0,0,0,,,N,N
G_3,1996,dead,657,G,3,0,0,0,0,0,,,N,N
G_5,1996,dead,658,G,5,0,0,0,0,0,,,N,N
G_6,1996,dead,659,G,6,0,0,0,0,0,,,N,N
G_7,1996,dead,660,G,7,0,0,0,0,0,,,N,N
H_10,1996,dead,661,H,10,0,0,0,0,0,,,N,N
H_14,1996,dead,662,H,14,0,0,0,0,0,,,N,N
H_15,1996,dead,663,H,15,0,0,0,0,0,,,N,N
H_18,1996,dead,664,H,18,0,0,0,0,0,,,N,N
H_20,1996,dead,665,H,20,0,0,0,0,0,,,N,N
H_5,1996,dead,666,H,5,0,0,0,0,0,,,N,N
H_6,1996,dead,667,H,6,0,0,0,0,0,,,N,N
I_1,1996,dead,668,I,1,0,0,0,0,0,,,N,N
I_3,1996,dead,669,I,3,0,0,0,0,0,,,N,N
I_6,1996,dead,670,I,6,0,0,0,0,0,,,N,N
I_7,1996,dead,671,I,7,0,0,0,0,0,,,N,N
C_1,1996,J,196,C,1,5,0,0,0,0,,,N,N
C_19,1996,J,207,C,19,6,0,0,0,0,,,N,N
C_20,1996,J,208,C,20,8,0,0,0,0,,,N,N
C_5,1996,J,198,C,5,7,0,0,0,0,,,N,N
D_3,1996,J,214,D,3,7,0,0,0,0,,,N,N
E_14,1996,J,241,E,14,10,0,0,0,0,,,N,N
E_7,1996,J,235,E,7,6,0,0,0,0,,,N,N
F_1,1996,J,242,F,1,10,0,0,0,0,,,N,N
F_19,1996,J,254,F,19,9,0,0,0,0,,,N,N
F_8,1996,J,247,F,8,8,0,0,0,0,,,N,N
G_12,1996,J,262,G,12,6,0,0,0,0,,,N,N
G_4,1996,J,258,G,4,8,0,0,0,0,,,N,N
H_1,1996,J,263,H,1,10,0,0,0,0,,,N,N
H_17,1996,J,274,H,17,7,0,0,0,0,,,N,N
H_19,1996,J,275,H,19,7,0,0,0,0,,,N,N
H_7,1996,J,267,H,7,9,0,0,0,0,,,N,N
B_1,1997,A1,284,B,1,19,26.7,5,1,111,,,N,N
B_10,1997,A1,289,B,10,14,26.7,5,1,111,,,N,N
C_16,1997,A1,297,C,16,17,26.7,5,1,111,,,N,N
C_22,1997,A1,300,C,22,14,26.7,0,0,0,,,N,N
C_23,1997,A1,301,C,23,15,26.7,0,0,0,,,N,N
C_26,1997,A1,302,C,26,15,26.7,5,1,111,,,N,N
C_5,1997,A1,293,C,5,15,26.7,5,1,111,,,N,N
D_10,1997,A1,307,D,10,14,26.7,5,1,111,,,N,N
D_16,1997,A1,309,D,16,15,26.7,5,1,111,,,N,N
D_26,1997,A1,313,D,26,15,26.7,5,1,111,,,N,N
D_4,1997,A1,304,D,4,15,26.7,5,1,111,,,N,N
D_6,1997,A1,305,D,6,14,26.7,5,1,111,,,N,N
E_10,1997,A1,322,E,10,16,26.7,5,1,111,,,N,N
